
Account ID,Line Item,Start Time,End Time,Project,Measurement1,Measurement1 Total Consumption,Measurement1 Units,Cost,Currency,Project Number,Project ID,Project Name,Project Labels,Description
000000-000000-000000,com.google.cloud/services/cloud-sql/DiskSpaceGb,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,449712193911,com.google.cloud/services/cloud-sql/DiskSpaceGb,3865470566400,byte-seconds,0.000322,USD,449712193911,learngcp-1,learngcp-1,,Disk usage
000000-000000-000001,com.google.cloud/services/cloud-sql/IpAddress,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,449712193911,com.google.cloud/services/cloud-sql/IpAddress,3600,seconds,0.01,USD,449712193911,learngcp-1,learngcp-1,,IP address idling - hour
000000-000000-000002,com.google.cloud/services/cloud-sql/StoragePdSsd,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/cloud-sql/StoragePdSsd,62384399974400,byte-seconds,0.003687,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Storage PD SSD
000000-000000-000003,com.google.cloud/services/cloud-sql/VmN1Standard1Na,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/cloud-sql/VM_N1_STANDARD_1_NA,5809,seconds,0.10908,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,N1_STANDARD_1 in NA (with 30% promotional discount)
000000-000000-000004,com.google.cloud/services/cloud-storage/BandwidthDownloadAmerica,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/cloud-storage/BandwidthDownloadAmerica,602143,bytes,0.000067,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Download US EMEA
000000-000000-000005,com.google.cloud/services/cloud-storage/ClassARequestMultiRegional,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/cloud-storage/ClassARequestMultiRegional,162,requests,0.00081,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Class A Request Multi-Regional Storage
000000-000000-000006,com.google.cloud/services/cloud-storage/ClassARequestNearline,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,449712193911,com.google.cloud/services/cloud-storage/ClassARequestNearline,1,requests,0.00001,USD,449712193911,learngcp-1,learngcp-1,,Class A Request Nearline Storage
000000-000000-000007,com.google.cloud/services/cloud-storage/ClassBRequestMultiRegional,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/cloud-storage/ClassBRequestMultiRegional,174,requests,0.000069,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Class B Request Multi-Regional Storage
000000-000000-000008,com.google.cloud/services/cloud-storage/StorageMultiRegionalUsGbsec,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/cloud-storage/StorageMultiRegionalUsGbsec,37583740928,byte-seconds,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Multi-Regional Storage US
000000-000000-000009,com.google.cloud/services/compute-engine/Licensed1000204Core,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/Licensed1000204Core,2760,seconds,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Licensing Fee for Debian 8 Jessie running on Instance Core
